date,open,close,high,low
11.12.2013,141.99,141.97,142.06,141.97
10.12.2013,141.83,141.97,141.98,141.83
09.12.2013,141.80,141.85,141.88,141.80
06.12.2013,141.68,141.76,141.77,141.66
05.12.2013,141.78,141.66,141.87,141.66
04.12.2013,141.92,141.87,141.93,141.86
03.12.2013,141.90,141.96,141.96,141.90
02.12.2013,141.96,141.90,141.96,141.90
29.11.2013,142.02,141.96,142.02,141.96
28.11.2013,142.04,141.99,142.05,141.99
27.11.2013,142.05,142.05,142.12,142.05
26.11.2013,142.01,142.05,142.08,141.99
25.11.2013,141.92,141.97,141.99,141.92
22.11.2013,141.91,141.94,141.95,141.91
21.11.2013,141.86,141.91,141.92,141.86
20.11.2013,141.84,141.85,141.91,141.82
19.11.2013,141.89,141.87,141.92,141.87
18.11.2013,141.98,141.88,141.98,141.87
15.11.2013,141.92,141.87,141.96,141.87
14.11.2013,141.88,141.93,141.98,141.88
13.11.2013,141.79,141.92,141.94,141.79
12.11.2013,141.79,141.82,141.82,141.79
11.11.2013,141.77,141.80,141.87,141.77
08.11.2013,141.76,141.80,141.82,141.73
07.11.2013,141.56,141.75,141.83,141.56
06.11.2013,141.52,141.56,141.61,141.52
05.11.2013,141.61,141.55,141.61,141.55
04.11.2013,141.57,141.65,141.68,141.57
01.11.2013,141.54,141.61,141.63,141.54
31.10.2013,141.33,141.52,141.52,141.33
30.10.2013,141.30,141.35,141.38,141.30
29.10.2013,141.28,141.31,141.35,141.28
28.10.2013,141.18,141.29,141.29,141.18
25.10.2013,141.30,141.18,141.30,141.18
24.10.2013,141.45,141.35,141.45,141.30
23.10.2013,141.41,141.36,141.47,141.36
22.10.2013,141.28,141.41,141.43,141.28
21.10.2013,141.22,141.28,141.28,141.22
18.10.2013,141.26,141.27,141.27,141.23
17.10.2013,141.19,141.21,141.22,141.18
16.10.2013,141.15,141.13,141.15,141.12
15.10.2013,141.06,141.08,141.08,141.03
14.10.2013,140.99,140.98,141.06,140.98
11.10.2013,140.94,140.92,141.00,140.92
10.10.2013,140.90,140.85,140.98,140.85
09.10.2013,140.89,140.89,140.91,140.88
08.10.2013,140.90,140.91,140.95,140.90
07.10.2013,140.86,140.97,140.97,140.86
04.10.2013,140.92,140.85,140.97,140.85
03.10.2013,140.80,140.87,140.87,140.80
02.10.2013,140.86,140.88,140.88,140.85
01.10.2013,140.51,140.76,140.76,140.51
30.09.2013,140.36,140.58,140.58,140.36
27.09.2013,140.60,140.55,140.60,140.54
26.09.2013,140.70,140.57,140.70,140.57
25.09.2013,140.78,140.76,140.78,140.75
24.09.2013,140.79,140.72,140.86,140.72
23.09.2013,140.65,140.76,140.76,140.65
20.09.2013,140.60,140.60,140.60,140.55
19.09.2013,140.58,140.52,140.58,140.52
18.09.2013,140.28,140.32,140.41,140.28
17.09.2013,140.19,140.28,140.35,140.19
16.09.2013,140.15,140.23,140.23,140.13
13.09.2013,140.13,140.08,140.15,140.08
12.09.2013,140.13,140.16,140.17,140.11
11.09.2013,140.08,140.25,140.25,140.05
10.09.2013,139.99,140.04,140.18,139.99
09.09.2013,140.05,140.00,140.09,140.00
06.09.2013,139.90,140.07,140.10,139.90
05.09.2013,140.10,139.92,140.12,139.92
04.09.2013,140.18,140.14,140.19,140.14
03.09.2013,140.19,140.18,140.26,140.18
02.09.2013,140.11,140.18,140.22,140.10
30.08.2013,140.10,140.12,140.17,140.10
29.08.2013,140.07,140.12,140.14,140.07
28.08.2013,140.10,140.06,140.11,140.06
27.08.2013,141.41,141.28,141.41,141.28
26.08.2013,141.46,141.40,141.50,141.40
23.08.2013,141.48,141.50,141.55,141.47
22.08.2013,141.40,141.47,141.55,141.40
21.08.2013,141.52,141.41,141.52,141.41
20.08.2013,141.54,141.46,141.58,141.46
