date,open,close,high,low
04.12.2012,177.77,178.10,178.11,177.77
03.12.2012,178.13,177.90,178.28,177.89
30.11.2012,178.16,178.08,178.21,178.07
29.11.2012,177.95,178.04,178.09,177.95
28.11.2012,177.31,178.10,178.13,177.31
27.11.2012,176.76,177.12,177.15,176.76
26.11.2012,176.86,177.04,177.15,176.86
23.11.2012,176.57,176.82,176.93,176.57
22.11.2012,176.66,176.73,176.74,176.63
21.11.2012,176.74,176.63,176.89,176.61
20.11.2012,177.42,176.85,177.42,176.85
19.11.2012,177.64,177.49,177.65,177.46
16.11.2012,177.54,177.80,177.81,177.54
15.11.2012,177.35,177.56,177.56,177.35
14.11.2012,177.52,177.46,177.52,177.35
13.11.2012,177.39,177.45,177.63,177.35
12.11.2012,177.32,177.36,177.36,177.24
09.11.2012,176.98,177.35,177.35,176.98
08.11.2012,176.95,177.01,177.01,176.91
07.11.2012,176.34,177.01,177.01,176.34
06.11.2012,176.24,176.38,176.38,176.24
05.11.2012,176.20,176.27,176.28,176.19
02.11.2012,176.04,176.11,176.11,176.03
01.11.2012,175.93,176.01,176.01,175.84
31.10.2012,175.69,175.83,175.87,175.60
30.10.2012,175.84,175.84,175.84,175.84
29.10.2012,175.27,175.66,175.66,175.27
26.10.2012,174.94,175.31,175.44,174.94
25.10.2012,174.75,174.66,174.75,174.62
24.10.2012,175.02,174.98,175.02,174.79
23.10.2012,176.49,176.75,176.77,176.49
22.10.2012,176.88,176.60,176.88,176.46
19.10.2012,176.51,176.92,176.92,176.51
18.10.2012,176.27,176.59,176.60,176.26
17.10.2012,176.85,176.36,176.87,176.36
16.10.2012,177.58,177.08,177.69,177.03
15.10.2012,177.87,177.75,177.92,177.75
12.10.2012,177.62,177.93,177.93,177.52
11.10.2012,177.70,177.42,177.70,177.42
10.10.2012,177.27,177.42,177.42,177.27
09.10.2012,177.05,177.33,177.33,177.05
08.10.2012,177.13,177.15,177.15,177.09
05.10.2012,177.15,176.81,177.15,176.80
04.10.2012,177.33,177.23,177.34,176.95
03.10.2012,177.20,177.23,177.23,177.19
02.10.2012,177.06,177.11,177.11,176.88
01.10.2012,177.12,177.02,177.12,176.87
28.09.2012,176.83,177.04,177.04,176.83
27.09.2012,176.75,176.95,176.96,176.75
26.09.2012,176.35,176.91,176.91,176.35
25.09.2012,176.27,176.02,176.27,176.02
24.09.2012,175.74,176.04,176.04,175.74
21.09.2012,175.55,175.73,175.73,175.43
20.09.2012,175.54,175.54,175.54,175.54
19.09.2012,174.98,175.62,175.62,174.98
18.09.2012,174.76,175.17,175.29,174.76
17.09.2012,174.56,174.64,174.88,174.56
14.09.2012,176.13,175.03,176.13,175.03
13.09.2012,175.86,176.29,176.32,175.86
12.09.2012,176.22,175.71,176.22,175.68
11.09.2012,176.31,176.41,176.41,176.31
10.09.2012,176.34,175.94,176.34,175.90
07.09.2012,175.99,176.36,176.44,175.99
06.09.2012,175.93,175.67,175.93,175.63
05.09.2012,176.50,176.37,176.90,176.37
04.09.2012,176.23,176.60,176.65,176.23
03.09.2012,176.99,176.76,176.99,176.76
31.08.2012,177.31,176.77,177.41,176.46
30.08.2012,177.25,177.18,177.25,177.18
29.08.2012,177.31,177.03,177.61,177.03
28.08.2012,177.65,177.43,177.65,177.42
27.08.2012,177.34,177.41,177.52,177.34
24.08.2012,177.15,177.55,177.70,177.15
23.08.2012,176.63,176.68,176.69,176.61
22.08.2012,175.97,176.24,176.29,175.78
21.08.2012,175.78,175.35,175.78,175.35
20.08.2012,175.24,175.65,175.66,175.24
17.08.2012,175.38,175.86,175.93,175.27
16.08.2012,175.02,175.60,175.60,175.02
15.08.2012,175.97,175.18,175.97,175.09
14.08.2012,176.48,176.09,176.48,176.02
13.08.2012,176.68,176.28,176.85,176.18
10.08.2012,176.62,176.80,176.90,176.62
09.08.2012,176.11,176.11,176.44,176.11
08.08.2012,175.87,176.17,176.17,175.83
07.08.2012,176.52,175.55,176.52,175.55
06.08.2012,176.36,176.73,176.73,176.36
03.08.2012,177.45,176.24,177.56,176.24
02.08.2012,176.76,177.45,177.45,176.76
01.08.2012,176.76,176.76,176.76,176.76
31.07.2012,176.66,177.46,177.58,176.66
30.07.2012,	176.21,176.21,176.21,
27.07.2012,176.55,176.65,176.65,176.55
26.07.2012,176.85,176.41,176.85,176.41
25.07.2012,176.41,176.15,176.41,176.15
24.07.2012,176.76,176.60,176.76,176.55
23.07.2012,178.20,178.12,178.20,178.12
20.07.2012,178.11,178.11,178.11,178.11
19.07.2012,177.97,177.91,177.98,177.91
18.07.2012,177.82,177.82,177.82,177.82
17.07.2012,177.58,177.70,177.89,177.58
16.07.2012,177.08,177.53,177.59,177.08
13.07.2012,177.14,177.01,177.36,176.99
12.07.2012,177.02,176.98,177.08,176.96
11.07.2012,175.96,176.50,176.62,175.96
10.07.2012,175.55,175.65,175.70,175.55
09.07.2012,175.72,175.53,175.78,175.53
06.07.2012,174.75,175.60,175.60,174.75
05.07.2012,174.07,174.71,174.75,174.07
04.07.2012,173.90,173.90,173.90,173.90
03.07.2012,173.25,173.39,173.39,173.24
02.07.2012,172.67,172.67,172.76,172.67
29.06.2012,171.60,172.06,172.06,171.60
28.06.2012,172.46,172.77,172.80,172.46
27.06.2012,172.79,172.47,172.92,172.30
26.06.2012,173.36,172.79,173.36,172.79
25.06.2012,172.48,173.49,173.49,172.48
22.06.2012,172.86,172.54,172.89,172.54
21.06.2012,171.87,172.12,172.25,171.87
20.06.2012,172.00,171.75,172.08,171.75
19.06.2012,173.44,172.42,173.44,172.42
18.06.2012,173.03,173.32,173.59,173.03
15.06.2012,172.97,173.38,173.38,172.89
14.06.2012,172.55,172.65,172.74,172.55
13.06.2012,172.33,172.53,172.53,172.33
12.06.2012,174.27,172.63,174.27,172.63
11.06.2012,174.28,174.58,174.58,174.23
08.06.2012,174.56,174.98,174.98,174.56
07.06.2012,174.99,174.85,174.99,174.85
06.06.2012,176.27,175.99,176.27,175.99
05.06.2012,176.38,176.88,176.88,176.38
04.06.2012,176.84,176.60,176.84,176.60
01.06.2012,176.68,176.93,177.71,176.68
31.05.2012,175.49,176.10,176.30,175.45
30.05.2012,174.60,174.56,174.60,174.56
29.05.2012,174.57,174.57,174.57,174.57
28.05.2012,174.39,174.38,174.39,174.33
25.05.2012,174.40,174.40,174.40,174.40
24.05.2012,174.25,174.20,174.25,174.20
23.05.2012,173.07,173.47,173.52,173.07
22.05.2012,172.64,172.70,172.92,172.58
21.05.2012,172.61,172.74,172.75,172.43
18.05.2012,172.58,172.85,172.98,172.58
17.05.2012,172.35,172.63,172.67,172.31
16.05.2012,172.38,172.26,172.40,172.24
15.05.2012,172.57,172.18,172.57,172.12
